ticker,series,event_id,event_type,category,t0_utc,discovery_source,status,market_type,subtitle,yes_sub_title,floor_strike,cap_strike,open_time,close_time,candle_source,n_candles
KXCPI-26SEP-T-0.4,KXCPI,jordan_walsh_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-23T12:27:00Z,live,active,binary,-0.4%,Above -0.4%,-0.4,,2026-07-20T18:00:00Z,2026-10-14T12:25:00Z,live,13
KXFED-26OCT-T5.25,KXFED,lebron_to_76ers_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-24T20:34:00Z,live,active,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-10-28T17:55:00Z,live,30
KXFED-26OCT-T5.00,KXFED,lebron_to_76ers_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-24T20:34:00Z,live,active,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-10-28T17:55:00Z,live,37
KXCPI-26SEP-T0.6,KXCPI,lebron_to_76ers_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-24T20:34:00Z,live,active,binary,0.6%,Above 0.6%,0.6,,2026-07-20T18:00:00Z,2026-10-14T12:25:00Z,live,12
KXCPI-26SEP-T-0.4,KXCPI,lebron_to_76ers_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-24T20:34:00Z,live,active,binary,-0.4%,Above -0.4%,-0.4,,2026-07-20T18:00:00Z,2026-10-14T12:25:00Z,live,14
KXFED-26OCT-T5.25,KXFED,brian_oneill_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-28T14:24:00Z,live,active,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-10-28T17:55:00Z,live,33
KXFED-26OCT-T5.00,KXFED,brian_oneill_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-28T14:24:00Z,live,active,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-10-28T17:55:00Z,live,40
KXCPI-26SEP-T0.6,KXCPI,brian_oneill_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-28T14:24:00Z,live,active,binary,0.6%,Above 0.6%,0.6,,2026-07-20T18:00:00Z,2026-10-14T12:25:00Z,live,16
KXCPI-26SEP-T-0.4,KXCPI,brian_oneill_extension_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-07-28T14:24:00Z,live,active,binary,-0.4%,Above -0.4%,-0.4,,2026-07-20T18:00:00Z,2026-10-14T12:25:00Z,live,18
KXFED-26OCT-T5.25,KXFED,von_miller_to_cowboys_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-08-17T01:10:00Z,live,active,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-10-28T17:55:00Z,live,41
KXFED-26OCT-T5.00,KXFED,von_miller_to_cowboys_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-08-17T01:10:00Z,live,active,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-10-28T17:55:00Z,live,44
KXCPI-26OCT-T0.5,KXCPI,von_miller_to_cowboys_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-08-17T01:10:00Z,live,active,binary,0.5%,Above 0.5%,0.5,,2026-02-20T15:00:00Z,2026-11-10T13:25:00Z,live,41
KXCPI-26OCT-T0.4,KXCPI,von_miller_to_cowboys_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-08-17T01:10:00Z,live,active,binary,0.4%,Above 0.4%,0.4,,2026-02-20T15:00:00Z,2026-11-10T13:25:00Z,live,43
KXFED-26DEC-T5.25,KXFED,aaron_donald_comeback_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-08-30T17:00:00Z,live,active,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-12-09T18:55:00Z,live,36
KXFED-26DEC-T5.00,KXFED,aaron_donald_comeback_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-08-30T17:00:00Z,live,active,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-12-09T18:55:00Z,live,47
KXCPI-26OCT-T0.5,KXCPI,aaron_donald_comeback_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-08-30T17:00:00Z,live,active,binary,0.5%,Above 0.5%,0.5,,2026-02-20T15:00:00Z,2026-11-10T13:25:00Z,live,36
KXCPI-26OCT-T0.4,KXCPI,aaron_donald_comeback_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-08-30T17:00:00Z,live,active,binary,0.4%,Above 0.4%,0.4,,2026-02-20T15:00:00Z,2026-11-10T13:25:00Z,live,38
KXFED-26DEC-T5.25,KXFED,kawhi_to_raptors_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-09-14T18:56:00Z,live,active,binary,5.25%,Above 5.25%,5.25,,2025-08-06T14:30:00Z,2026-12-09T18:55:00Z,live,36
KXFED-26DEC-T5.00,KXFED,kawhi_to_raptors_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-09-14T18:56:00Z,live,active,binary,5.00%,Above 5.00%,5,,2025-08-06T14:30:00Z,2026-12-09T18:55:00Z,live,45
KXCPI-26NOV-T0.5,KXCPI,kawhi_to_raptors_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-09-14T18:56:00Z,live,active,binary,0.5%,Above 0.5%,0.5,,2026-02-20T15:00:00Z,2026-12-10T13:25:00Z,live,39
KXCPI-26NOV-T0.4,KXCPI,kawhi_to_raptors_fx,unscheduled_sports,crossdomain_macro_farexpiry,2026-09-14T18:56:00Z,live,active,binary,0.4%,Above 0.4%,0.4,,2026-02-20T15:00:00Z,2026-12-10T13:25:00Z,live,38
